date,brownfield_ready,brownfield_activated,greenfield_ready,greenfield_activated,satellite_ready,satellite_activated,wireless_ready,wireless_activated,total_ready,total_activated
2016-03-24,1280016,608719,247935,151788,,34959,359124,98602,,894068
2016-03-31,1297902,616076,249839,152548,,34869,369970,99455,,902948
2016-04-07,1305626,627761,250472,153795,,34869,372288,100925,,917350
2016-04-14,1312202,639865,252999,154996,,34758,372735,102525,,932144
2016-04-21,1329347,652181,254850,156155,,34623,373704,104058,,947017
2016-04-28,1357232,662254,256258,156920,,34841,375593,105083,,959098
2016-05-05,1388063,673400,257938,157929,,35010,380988,106551,,972890
2016-05-12,1410625,686209,260441,159008,,34979,381322,108002,,988198
2016-05-19,1424236,698487,262656,160341,,35118,386205,109528,,1003474
2016-05-26,1455698,711233,265535,161478,,35542,389836,110955,,1019208
2016-06-02,1481098,723439,268287,162675,,35967,392161,112366,,1034447
2016-06-09,1507528,736068,270756,163906,,36113,393328,113707,,1049794
2016-06-16,1521654,747275,272260,165086,,37022,401697,114915,,1064298
2016-06-23,1586242,760453,274772,166418,,37910,402237,116333,,1081114
2016-06-30,1727365,774526,277839,167830,,38764,420524,117514,,1098634
2016-07-07,1732999,788495,279166,169110,,39668,420693,118667,,1115940
2016-07-14,1752179,803592,280342,170559,,40714,420535,119922,,1134787
2016-07-21,1766496,818551,282843,172318,,41183,420642,121341,,1153393
2016-07-28,1788090,835076,284349,173964,,42488,424519,122851,,1174379
2016-08-04,1811560,851930,286227,175537,,43229,426192,124282,,1194978
2016-08-11,1827350,871009,288507,177257,,44726,427505,125907,,1218899
2016-08-18,1839949,890322,289817,178870,,46405,428361,127590,,1243187
2016-08-25,1867810,909253,291862,180313,,47181,429921,129186,,1265933
2018-02-08,4794217,2919123,491044,310279,425345,85217,573169,218883,6283775,3533502
2018-02-15,4798060,2944459,493092,312354,425610,85645,573569,219996,6290331,3562454
2018-02-22,4807564,2969986,495565,314542,425816,85997,574535,221113,6303480,3591638
2020-12-03,9849315,6791601,956127,625122,436977,107655,622053,337365,11864472,7861743
2020-12-10,9851955,6810575,958436,627913,437134,107950,622420,338184,11869945,7884622
2020-12-17,9856575,6828541,961322,630854,437370,108154,622271,338864,11877538,7906413
2020-12-24,9863609,6844144,963383,633442,437561,108257,624159,339319,11888712,7925162
2020-12-31,9867342,6848280,963473,634553,437628,108208,624289,339314,11892732,7930355
2021-01-07,9867375,6857950,963512,636352,437807,108178,624548,339825,11893242,7942305
2021-01-14,9866924,6869368,965024,638511,437990,108419,624754,340665,11894692,7956963
2021-01-21,9867623,6882447,967231,640962,438287,108675,624754,341506,11897895,7973590
2021-01-28,9870216,6893285,969926,642855,438480,108796,625059,341965,11903681,7986901
2021-02-04,9870876,6903003,972840,644968,423392,108848,611872,342848,11878980,7999667
2021-02-11,9871565,6914487,975320,647082,423788,109046,612170,343547,11882843,8014162
2021-02-18,9871583,6926399,977844,649738,424057,109398,612402,344417,11885886,8029952
2021-02-25,9872702,6937400,979864,652030,424325,109602,612754,345095,11889645,8044127
2021-03-04,9873635,6944608,982355,653944,424476,109766,613241,345732,11893707,8054050
2021-03-11,9873450,6954366,986320,656062,424605,110000,613504,346432,11897879,8066860
2021-03-18,9873858,6965756,988965,658484,424771,110200,613750,347090,11901344,8081530
2021-03-25,9874966,6974694,992507,660740,424886,110356,614069,347520,11906428,8093310
2021-04-01,9875961,6982790,996227,662535,425032,110388,614649,348270,11911869,8103983
2021-04-08,9876106,6987390,997591,663991,425135,110362,614849,348692,11913681,8110435
2021-04-15,9876951,6996386,1000547,666170,425363,110551,614699,349597,11917560,8122704
2021-04-22,9878280,7002792,1003686,668478,425532,110754,615062,350356,11922560,8132380
2021-04-29,9879421,7006625,1006398,670382,425718,110960,615672,350940,11927209,8138907
2021-05-06,9879330,7007426,1009384,672215,425835,110843,615893,351536,11930442,8142020
2021-05-13,9879054,7009396,1011538,674406,426020,111000,616079,352195,11932691,8146997
2021-05-20,9879862,7011446,1013611,676326,426257,111176,614541,352909,11934271,8151857
2021-05-27,9880691,7016642,1016376,678593,426434,111313,614708,353546,11938209,8160094
2021-06-03,9881385,7020711,1018521,680755,426563,111280,616530,353990,11942999,8166736
2021-06-10,9882414,7025955,1021245,683180,427223,111400,617079,354489,11947961,8175024
2021-06-17,9883183,7030966,1023930,685352,427473,111436,617380,355043,11951966,8182797
2021-06-24,9884040,7035916,1026599,688002,427592,111526,617863,355735,11956094,8191179
2021-07-01,9887795,7040115,1029649,690389,427797,111505,622082,356316,11967323,8198325
